id,odi_no,date,venue,host_country,venue_status,team1,team2,toss_winner,toss_decision,result,dls_applied,winner,team1_runs,team2_runs,team1_overs_played,team2_overs_played,team1_wickets,team2_wickets,team1_runs_from_extra,team2_runs_from_extra,win_by_runs,win_by_wickets,player_of_the_match,umpire1,umpire2,reserve_umpire,tv_umpire
64,4731,17/02/2024,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,home,Nepal,Netherlands,Nepal,field,normal,0,Nepal,141,137,15.2,39,1,10,2,8,0,9,Kushal Bhurtel,Asif Yaqoob,Durga Subedi,Buddhi Pradhan,
65,4733,21/02/2024,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,home,Nepal,Namibia,Namibia,field,normal,0,Namibia,168,172,37.1,40,10,8,8,5,0,2,Bernard Scholtz,Asif Yaqoob,Buddhi Pradhan,Durga Subedi,
66,4735,25/02/2024,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,home,Nepal,Netherlands,Netherlands,field,normal,0,Netherlands,172,173,49.3,37.5,10,2,10,2,0,8,Vikramjit Singh,Asif Yaqoob,Vinay Kumar,Buddhi Pradhan,
67,4762,16/09/2024,"Maple Leaf North-West Ground, King City",Canada,away,Nepal,Canada,Nepal,field,normal,0,Canada,150,253,40.1,50,10,8,16,17,103,0,Dilon Heyliger,Masudur Rahman,Rohan Shah,Arnold Maddela,
68,4765,18/09/2024,"Maple Leaf North-West Ground, King City",Canada,away,Nepal,Oman,Oman,field,normal,0,Oman,220,223,50,49.5,9,9,10,3,0,1,Gulsan Jha,Arnold Maddela ,Masudur Rahman,Rohan Shan,
69,4773,22/09/2024,"Maple Leaf North-West Ground, King City",Canada,away,Nepal,Canada,Nepal,bat,normal,0,Canada,181,186,46.1,42,10,5,22,7,0,5,Navneet Dhaliwal,Arnold Maddela ,Masudur Rahman,Rohan Shan,
70,4787,27/10/2024,"Grand Prairie Stadium, Dallas",USA,away,Nepal,USA,USA,field,normal,0,USA,286,291,50,49.4,10,7,9,11,0,3,Shayan Jahangir,Jermaine Lindo,Russell Warren,Vijaya Mallela,
71,4788,29/10/2024,"Grand Prairie Stadium, Dallas",USA,away,Nepal,Scotland,Nepal,field,normal,0,Nepal,154,157,29.5,41.4,5,10,14,13,0,5,Aarif Sheikh,Jermaine Lindo,Vijaya Mallela,Russell Warren,
72,4793,2/11/2024,"Grand Prairie Stadium, Dallas",USA,away,Nepal,USA,Nepal,field,normal,0,USA,244,281,49.5,50,10,8,6,14,37,0,Saurabh Netravalkar,Jermaine Lindo,Russell Warren,Vijaya Mallela,
73,4796,4/11/2024,"Grand Prairie Stadium, Dallas",USA,away,Nepal,Scotland,Scotland,field,nr,0,None,26,0,6,0,1,0,0,7,0,0,,Jermaine Lindo,Vijaya Mallela,Russell Warren,
74,4882,02/06/2025,"Forthill, Dundee",Scotland,away,Nepal,Scotland,Nepal,field,normal,0,Nepal,297,296,49.5,50,9,7,18,19,0,1,Karan KC,Gazi Sohel,Ryan Milne,Iain McDonald,
75,4884,04/06/2025,"Forthill, Dundee",Scotland,away,Nepal,Netherlands,Netherlands,bat,normal,0,Nepal,226,225,47.1,49.1,5,10,21,22,0,5,Aarif Sheikh,David McLean,Iain McDonald,Gazi Sohel,
76,4886,08/06/2025,"Forthill, Dundee",Scotland,away,Nepal,Scotland,Scotland,bat,normal,0,Scotland,321,323,50,50,10,6,27,11,2,0,Michael Leask,Gazi Sohel,Ryan Milne,Iain McDonald,
77,4887,10/06/2025,"Forthill, Dundee",Scotland,away,Nepal,Netherlands,Netherlands,field,normal,0,Nepal,236,220,50,49.2,9,10,12,27,16,0,Aarif Sheikh,David McLean,Ryan Milne,Gazi Sohel,
